Buffer Size Network.node[7].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[6].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[0].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[4].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Delay Network.node[5].app (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[1].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[3].lnk[0] (#0 - General-0-20190530-17:24:45-2957),,Buffer Size Network.node[2].lnk[0] (#0 - General-0-20190530-17:24:45-2957),
12.898660388484,10,13.485128163722,8,11.898560388484,12,16.442954919299,4,36.485228163722,16.096452383756997,12.951645335884,12,13.111139470784,12,13.879064054203,12
12.898660388484,11,13.49119900579,9,11.951745335884,13,16.591667188551,5,37.485228163722,35.60626410951900295,13.190782438956,13,13.55263419933,13,13.951545335884,11
13.221884220884,12,13.898760388484,10,12.898560388484,12,16.810547785058,6,38.485228163722,17.51357399488999526,13.951645335884,12,13.660269307486,14,14.59614986337,12
13.898660388484,11,14.485128163722,9,12.923347607589,13,17.111039470784,5,39.485228163722,18.06815453296999853,13.951645335884,13,13.878964054203,13,14.879064054203,13
13.898660388484,12,14.898760388484,10,12.951745335884,14,17.270561742798,6,40.485228163722,28.27162517050799535,14.196653444123,14,14.111139470784,14,14.951545335884,12
14.898660388484,11,15.485128163722,9,13.767775401117,15,17.284226321229,7,41.485228163722,19.41250824860599516,14.951645335884,13,14.718095720838,15,15.468065716996,13
14.898660388484,12,15.898760388484,10,13.898560388484,14,17.386371202754,8,42.485228163722,30.03541846442499962,14.951645335884,14,14.878964054203,14,15.879064054203,14
15.898660388484,11,16.485128163722,9,13.951745335884,15,18.111039470784,7,43.485228163722,30.6564565001419992,15.255396159217,15,15.010176254105,15,15.951545335884,13
15.898660388484,12,16.684145647844,10,14.002076919893,16,18.36147313691,8,44.485228163722,19.90859646552100053,15.89917716082,16,15.111139470784,16,16.444929791067,14
16.898660388484,11,16.898760388484,11,14.177990465319,17,19.111039470784,7,45.485228163722,37.2126000394149939,15.951645335884,15,15.638117835096,17,16.879064054203,15
16.898660388484,12,17.485128163722,10,14.898560388484,16,20.111039470784,6,46.485228163722,21.58325604999199491,15.951645335884,16,15.811245291242,18,16.951545335884,14
17.67638106706,13,17.898760388484,11,14.951745335884,17,21.111039470784,5,47.485228163722,22.57385529932799522,16.951645335884,15,15.878964054203,17,17.879064054203,15
