timeNode0,bufferSizeNode0,timeNode7,bufferSizeNode7,timeNode6,bufferSizeNode6,timeNode2,bufferSizeNode2,timeNode1,bufferSizeNode1,timeNode5,delayNode5
48.77332886,43,71.77342886,1,72.77352886,1,78.65702989,3,81.40006733,1,142.7736289,68.69892318
48.94449798,44,71.77342886,0,72.77352886,0,79.31267617,4,81.40006733,0,143.7736289,69.64159626
49.54070717,45,72.77342886,1,73.77352886,1,79.39996733,3,82.40006733,1,144.7736289,72.480509
49.77332886,44,72.77342886,0,73.77352886,0,79.43906481,4,82.40006733,0,145.7736289,70.71311776
49.78892578,45,73.77342886,1,74.77352886,1,80.39996733,3,83.40006733,1,146.7736289,73.8481724
50.54070717,46,73.77342886,0,74.77352886,0,80.60593834,4,83.40006733,0,147.7736289,72.11317087
50.77332886,45,74.77342886,1,75.77352886,1,80.98863929,5,84.40006733,1,148.7736289,75.13558881
51.54070717,46,74.77342886,0,75.77352886,0,81.39996733,4,84.40006733,0,149.7736289,72.7689256
51.77332886,45,75.77342886,1,76.77352886,1,82.39996733,3,85.40006733,1,150.7736289,73.74873547
52.54070717,46,75.77342886,0,76.77352886,0,83.11287648,4,85.40006733,0,151.7736289,74.70875917
52.77332886,45,76.77342886,1,77.77352886,1,83.17917388,5,86.40006733,1,152.7736289,75.12588078
53.54070717,46,76.77342886,0,77.77352886,0,83.39996733,4,86.40006733,0,153.7736289,76.37366152
53.77332886,45,77.77342886,1,78.77352886,1,83.42356933,5,87.40006733,1,154.7736289,77.04125128
54.24342262,46,77.77342886,0,78.77352886,0,84.39996733,4,87.40006733,0,155.7736289,77.91319452
54.47772414,47,78.77342886,1,79.77352886,1,84.60275886,5,88.40006733,1,156.7736289,75.23431066
54.54070717,48,78.77342886,0,79.77352886,0,85.39996733,4,88.40006733,0,157.7736289,75.69942629
54.77332886,47,79.77342886,1,80.77352886,1,85.43885639,5,89.40006733,1,158.7736289,80.46777506
55.48574339,48,79.77342886,0,80.77352886,0,85.74727123,6,89.40006733,0,159.7736289,81.11659897
55.54070717,49,80.77342886,1,81.77352886,1,86.39996733,5,90.40006733,1,160.7736289,81.46095268
55.77332886,48,80.77342886,0,81.77352886,0,86.45851917,6,90.40006733,0,161.7736289,77.1955145
56.54070717,49,81.77342886,1,82.77352886,1,87.19927812,7,91.40006733,1,162.7736289,83.33456404
