Buffer Size Network.node[0].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[7].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[6].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[5].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[4].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[3].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[2].lnk[0] (#0 - General-0-20190604-21:23:33-8154),,Buffer Size Network.node[1].lnk[0] (#0 - General-0-20190604-21:23:33-8154),
16.103377255034,3,18.482440368894,1,19.482540368894,1,,,,,,,,,,
16.482340368894,2,18.482440368894,0,19.482540368894,0,,,,,,,,,,
17.482340368894,1,19.482440368894,1,20.482540368894,1,,,,,,,,,,
18.482340368894,0,19.482440368894,0,20.482540368894,0,,,,,,,,,,
19.25354718371,1,20.482440368894,1,21.482540368894,1,,,,,,,,,,
19.482340368894,0,20.482440368894,0,21.482540368894,0,,,,,,,,,,
21.294439399622,1,22.294539399622,1,23.294639399622,1,,,,,,,,,,
21.294439399622,0,22.294539399622,0,23.294639399622,0,,,,,,,,,,
21.9361485723,1,23.294539399622,1,24.294639399622,1,,,,,,,,,,
22.294439399622,0,23.294539399622,0,24.294639399622,0,,,,,,,,,,
23.541388129362,1,24.541488129362,1,25.541588129362,1,,,,,,,,,,
23.541388129362,0,24.541488129362,0,25.541588129362,0,,,,,,,,,,
25.155390204255,1,26.155490204255,1,27.155590204255,1,,,,,,,,,,
25.155390204255,0,26.155490204255,0,27.155590204255,0,,,,,,,,,,
25.890354625445,1,27.155490204255,1,28.155590204255,1,,,,,,,,,,
26.155390204255,0,27.155490204255,0,28.155590204255,0,,,,,,,,,,
27.026293567155,1,28.155490204255,1,29.155590204255,1,,,,,,,,,,
27.152167976593,2,28.155490204255,0,29.155590204255,0,,,,,,,,,,
27.155390204255,1,29.155490204255,1,30.155590204255,1,,,,,,,,,,
28.155390204255,0,29.155490204255,0,30.155590204255,0,,,,,,,,,,
28.427395678817,1,30.155490204255,1,31.155590204255,1,,,,,,,,,,
28.582125359317,2,30.155490204255,0,31.155590204255,0,,,,,,,,,,
29.155390204255,1,31.155490204255,1,32.155590204255,1,,,,,,,,,,
29.352960017784,2,31.155490204255,0,32.155590204255,0,,,,,,,,,,
30.155390204255,1,32.155490204255,1,33.155590204255,1,,,,,,,,,,
30.774324697878,2,32.155490204255,0,33.155590204255,0,,,,,,,,,,
31.155390204255,1,33.155490204255,1,34.155590204255,1,,,,,,,,,,
31.512151989634,2,33.155490204255,0,34.155590204255,0,,,,,,,,,,
31.624098150267,3,34.155490204255,1,35.155590204255,1,,,,,,,,,,
32.155390204255,2,34.155490204255,0,35.155590204255,0,,,,,,,,,,
32.159663870495,3,35.155490204255,1,36.155590204255,1,,,,,,,,,,
32.466944222648,4,35.155490204255,0,36.155590204255,0,,,,,,,,,,
32.673147504678,5,36.155490204255,1,37.155590204255,1,,,,,,,,,,
33.155390204255,4,36.155490204255,0,37.155590204255,0,,,,,,,,,,
34.008437689302,5,37.155490204255,1,38.155590204255,1,,,,,,,,,,
34.155390204255,4,37.155490204255,0,38.155590204255,0,,,,,,,,,,
34.617520112485,5,38.155490204255,1,39.155590204255,1,,,,,,,,,,
